N,종목명,현재가,전일비,등락률,액면가,매수호가
338.0,금양,9900.0,하락  480,-4.62%,500.0,9890.0
339.0,ACE 미국배당다우존스,13130.0,하락  15,-0.11%,0.0,13125.0
340.0,풀무원,16450.0,하락  60,-0.36%,500.0,16450.0
341.0,KODEX 반도체,34980.0,상승  525,+1.52%,0.0,34950.0
342.0,동아쏘시오홀딩스,98400.0,"상승  1,400",+1.44%,5000.0,98300.0
343.0,NHN,18390.0,보합0,0.00%,500.0,18380.0
344.0,TIGER 리츠부동산인프라,4290.0,하락  10,-0.23%,0.0,4285.0
345.0,카프로,3660.0,보합0,0.00%,500.0,0.0
346.0,솔루스첨단소재,8800.0,하락  510,-5.48%,100.0,8800.0
347.0,롯데관광개발,8080.0,상승  310,+3.99%,500.0,8070.0
348.0,현대홈쇼핑,51100.0,상승  600,+1.19%,5000.0,51000.0
349.0,ACE 미국빅테크TOP7 Plus,16210.0,하락  135,-0.83%,0.0,16205.0
350.0,KODEX 미국30년국채타겟커버드콜(합성 H),9235.0,하락  30,-0.32%,0.0,9235.0
351.0,HJ중공업,7200.0,하락  40,-0.55%,5000.0,7200.0
352.0,PLUS 고배당주,15030.0,하락  25,-0.17%,0.0,15025.0
353.0,두산우,147300.0,"상승  1,500",+1.03%,5000.0,147300.0
354.0,미래에셋증권2우B,4255.0,하락  15,-0.35%,5000.0,4255.0
355.0,지역난방공사,50400.0,상승  200,+0.40%,5000.0,50400.0
356.0,STX엔진,25350.0,상승  850,+3.47%,2500.0,25350.0
357.0,세아제강,205500.0,상승  500,+0.24%,5000.0,205500.0
358.0,TIGER 인도니프티50,13310.0,상승  220,+1.68%,0.0,13305.0
